,geoFIPS,NAME
427,g13189,McDuffie
428,g13191,McIntosh
429,g13195,Madison
430,g13201,Miller
431,g13213,Murray
432,g13217,Newton
433,g13219,Oconee
434,g13221,Oglethorpe
435,g13223,Paulding
436,g13229,Pierce
437,g13241,Rabun
438,g13245,Richmond
439,g13249,Schley
440,g13251,Screven
441,g13267,Tattnall
442,g13269,Taylor
443,g13271,Telfair
444,g13285,Troup
445,g13289,Twiggs
446,g13291,Union
447,g13301,Warren
448,g13303,Washington
449,g13305,Wayne
450,g13309,Wheeler
451,g13313,Whitfield
452,g13317,Wilkes
453,g13319,Wilkinson
454,g13003,Atkinson
455,g13005,Bacon
456,g13011,Banks
457,g13017,Ben Hill
458,g13023,Bleckley
459,g13031,Bulloch
460,g13035,Butts
461,g13037,Calhoun
462,g13043,Candler
463,g13045,Carroll
464,g13047,Catoosa
465,g13053,Chattahoochee
466,g13055,Chattooga
467,g13077,Coweta
468,g13083,Dade
469,g13085,Dawson
470,g13087,Decatur
471,g13091,Dodge
472,g13093,Dooly
473,g13095,Dougherty
474,g13097,Douglas
475,g13099,Early
476,g13101,Echols
477,g13109,Evans
478,g13111,Fannin
479,g13115,Floyd
480,g13117,Forsyth
481,g13119,Franklin
482,g13067,Cobb
483,g13069,Coffee
484,g13071,Colquitt
485,g13073,Columbia
486,g13139,Hall
487,g13143,Haralson
488,g13145,Harris
489,g13147,Hart
490,g13153,Houston
491,g13155,Irwin
492,g13157,Jackson
493,g13159,Jasper
494,g13161,Jeff Davis
495,g13165,Jenkins
496,g13167,Johnson
497,g13169,Jones
498,g13173,Lanier
499,g13175,Laurens
500,g13177,Lee
501,g13181,Lincoln
502,g13123,Gilmer
503,g13125,Glascock
504,g13129,Gordon
505,g13133,Greene
506,g13187,Lumpkin
507,g13193,Macon
508,g13197,Marion
509,g13199,Meriwether
510,g13205,Mitchell
511,g13225,Peach
512,g13227,Pickens
513,g13231,Pike
514,g13233,Polk
515,g13235,Pulaski
516,g13207,Monroe
517,g13209,Montgomery
518,g13211,Morgan
519,g13215,Muscogee
520,g13255,Spalding
521,g13257,Stephens
522,g13259,Stewart
523,g13261,Sumter
524,g13263,Talbot
525,g13265,Taliaferro
526,g13273,Terrell
527,g13275,Thomas
528,g13277,Tift
529,g13279,Toombs
530,g13281,Towns
531,g13283,Treutlen
532,g13287,Turner
533,g13237,Putnam
534,g13239,Quitman
535,g13243,Randolph
536,g13247,Rockdale
537,g13253,Seminole
538,g13311,White
539,g13315,Wilcox
540,g13321,Worth
541,g13293,Upson
542,g13295,Walker
543,g13297,Walton
544,g13299,Ware
545,g13307,Webster
