Geo_FIPS,sovi,rank
g39113,1.2076760148371912,929.0
g39115,0.26592726060989813,1436.0
g39117,-2.3705891784455275,2587.0
g39119,1.3203853918136645,887.0
g39121,-1.6144045670754175,2363.0
g39123,-0.9244234785044456,2076.0
g39125,-2.143087620906809,2533.0
g39127,-0.8951727708608554,2061.0
g39129,-2.6052726347004684,2658.0
g39131,0.5968796766935478,1245.0
g39133,-1.784175244657204,2424.0
g39135,-1.0384380769470154,2116.0
g39137,-3.0246450626434105,2759.0
g39139,0.04576953595329569,1556.0
g39141,-1.4354914117076911,2299.0
g39143,-0.0405060754056783,1599.0
g39145,1.6535419114664496,739.0
g39147,-0.14767857096496395,1664.0
g39149,-2.009075621133667,2494.0
g39151,0.854204794751489,1109.0
g39153,-0.7008426467826014,1969.0
g39155,1.3984063769761386,853.0
g39157,-0.28048359036436254,1746.0
g39159,-4.634781025483395,2993.0
g39161,-0.5358618153150466,1889.0
g39163,-1.9884462255359923,2483.0
g39165,-5.816733139201107,3072.0
g39167,-0.34825150598028687,1786.0
g39169,-1.0975634893676098,2148.0
g39171,-1.3287857315453535,2260.0
g39173,-2.4718676227057133,2621.0
g39175,-0.5361999530377177,1890.0
g40001,3.15581369299987,309.0
g40003,-2.7611211271880927,2697.0
g40005,-0.28509674860136336,1748.0
g40007,-1.1955650035990062,2204.0
g40009,-3.4045893896658685,2843.0
g40011,0.426975724094917,1350.0
g40013,1.1299869049787503,971.0
g40015,1.443564161885148,830.0
g40017,-3.758232517944795,2899.0
g40019,1.550867960917164,788.0
g40021,2.2173171146114967,517.0
g40023,3.8864465089195264,206.0
g40025,2.6171111871238857,413.0
g40027,-3.320039277662023,2825.0
g40029,2.373594670257806,467.0
g40031,-0.7216997047478957,1978.0
g40033,2.0752635919292546,559.0
g40035,1.4450721367096193,829.0
g40037,-1.743885626668319,2406.0
g40039,0.5807636406557397,1254.0
g40041,2.711376969660827,395.0
g40043,-2.0338739667064094,2500.0
g40045,-1.4220805647567272,2295.0
g40047,0.9721356452359828,1046.0
g40049,1.0672959459553366,1001.0
g40051,-1.6532317441808368,2373.0
g40053,-0.3265826084268101,1770.0
g40055,-0.43697925084288947,1837.0
g40057,6.068813787707937,83.0
g40059,0.8230043018995562,1129.0
g40061,0.8951864626707909,1081.0
g40063,0.7887207331565771,1144.0
g40065,1.3515218241679825,871.0
g40067,4.341036141714902,156.0
g40069,1.2649578543789737,903.0
g40071,1.5283457637922342,798.0
g40073,-2.001944789937636,2488.0
g40075,2.119665579817768,543.0
g40077,0.43589742507387613,1345.0
g40079,1.3487138731557229,872.0
g40081,-0.714605747377643,1976.0
g40083,-2.655663913794039,2675.0
g40085,1.4604631509127364,822.0
g40087,-2.762921840429425,2698.0
g40089,3.6572163637755724,233.0
g40091,3.624011581339161,242.0
g40093,-1.4005175740584566,2282.0
g40095,1.8761498635388474,636.0
g40097,-0.7079610069936773,1972.0
g40099,1.2222535905301808,922.0
g40101,1.980413071905916,597.0
g40103,-0.2866875388088152,1750.0
g40105,0.6431100327309158,1224.0
g40107,2.4620739826017153,445.0
g40109,0.05792061877695698,1550.0
g40111,1.9665833868689,602.0
g40113,-0.8591255128707558,2045.0
