,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
QPOVTY,0.7596520390873422,0.7290784492985813,0.631514366325477,0.5515386927293818,0.5075408862806737,0.4673674697970799,0.48551928777699327,0.43502774680140244,0.478898126512753,-0.31428204680493005,,0.3366988226704607,0.35982327143299275,0.27500901275528333,0.30175862023774747,-0.17241855825276586,0.233443689789206,0.21920037498591918,0.22381160819962034,0.2782543356608784,0.18073034101428337,0.23125700727822968,-0.08240731273598803,0.1574227083512937,0.20995787511131564,0.11355744220928296,-0.08106761565705825,0.02196413123736654
QNRRES_ACS,0.7245285271216864,0.777711376756828,0.4733512259320079,0.5061942614295543,0.425694724864504,0.6683269191769923,0.47579683656670335,0.4025782247858519,0.538219367808206,-0.2636282431635981,0.37287761798967844,,0.3038625007166147,0.3504215043216006,0.26219616910516225,-0.2126368188196291,0.1717829146934261,0.12091801606566623,0.20429924184121118,0.27304564451514834,0.09622779312987925,0.2514175784943795,-0.08696222822350164,0.08633470211530891,0.18772849128447605,0.16897211622804922,-0.05809754233554181,0.15648832190457962
QFAM,0.695302768496012,0.8100449089115677,0.47990170953179256,0.4923629224893137,0.4607603975269304,0.674572426043955,0.46501695986325775,0.4284089676126768,0.5510092037764265,-0.1846304453772692,0.40826342695902385,0.08505631845136334,,0.3907803426530557,0.2850032971357931,-0.171681030306846,0.13043668946148176,0.10561263245743238,0.1984416781357529,0.3162139428918702,0.04936318182686575,0.2599429402488052,-0.005478381686061462,0.049624515390910895,0.23146087486032443,0.1064162476242354,-0.06192581561269313,0.21974728926444992
QUNOCCHU_ACS,0.7700853319674867,0.7901546364810668,0.49970344416601153,0.5068588048008064,0.4387077046304334,0.7094733422431251,0.4772476661860136,0.5001820821410559,0.5414259978496054,-0.19124022710696745,0.3627323139608123,0.11889159472593984,0.2421344296561244,,0.27520570359219415,-0.3018061827954406,0.14625197133879064,0.10380277147066862,0.2659091918756914,0.2428232886530432,0.011570687429247523,0.2733216194979368,-0.003468559254274639,0.04715591477457451,0.22690448549021003,0.1086796457221214,-0.06289058599362107,0.21203190588053997
PERCAP_ALT,0.7328083279008503,0.7934007536533748,0.45467614679178137,0.5208288250909757,0.4096132648290055,0.7111812562080787,0.4817134037819142,0.4054444527030465,0.5512439408658175,-0.23699567838472008,0.39645905605020626,0.18355809101899173,0.31303317184346613,0.3531182933011672,,-0.21150100941135147,0.20619439751824906,0.13177010964865452,0.19179038334020365,0.2932633259335603,0.08431478271410278,0.2410528933755424,-0.07958080252547695,0.12336485569712943,0.219205034859784,0.2041964501804257,-0.10039427714510853,0.1847217773154359
BLACK_ACS,0.7238635902096537,0.8101296570695999,0.29815442225052463,0.48070118742162743,0.34648894772925437,0.6678518941100067,0.4656262788610605,0.37943872173354176,0.5220911676081553,-0.1986956694936603,0.353707534452249,0.15428656229577128,0.3483973150798657,0.40441911669506525,0.21444397661980896,,0.14118500647348592,0.024494872004283706,0.22277186581546657,0.35789170046384716,0.01119137263414513,0.211176541399148,-0.08253244977010327,0.08822504644013918,0.22485918927275017,0.28943311209836403,-0.07622763174496318,0.22840517958282394
MDGRENT_ALT,0.7659935043201593,0.7736601956651543,0.6765622403651266,0.5782543346512365,0.5307573596328312,0.5159946875611646,0.45451048424515605,0.39713941522972696,0.3021596063863397,-0.37296176391037994,0.3487394965028888,0.33792276704272906,0.2711175551991242,0.2463764023664871,0.3570209378896145,-0.3206781974100039,,0.31464406274628165,0.17322104533935279,0.1969988644277658,0.1445876529752397,0.01220179149064729,-0.17706965816549097,0.23732148272670922,0.13085080257873366,0.10952140889249325,-0.1867204645033511,0.04819469503824497
QRICH200K,0.7659612950324668,0.7856983383518449,0.45270006885562714,0.5255370064749811,0.38837007803616136,0.6715131822564786,0.5125064366886463,0.4117294297490167,0.6039417188785885,-0.2914313765513692,0.36441764416812106,0.22488830212206884,0.2741484407931413,0.3502790894765984,0.24542006562782892,-0.2560601688014249,0.18420526801985165,,0.22655525023644865,0.23580419771405228,0.12151368964859247,0.35681866081152164,-0.11839934015794232,0.07444078220773329,0.19132493658869143,0.21124025984850534,-0.031784528842131614,0.13089461084072357
MEDAGE_ACS,0.801843943334156,0.7429670312511479,0.6692392590063808,0.5580591173911609,0.5077062134674755,0.49403560475424524,0.4667406418268837,0.4633876820704431,0.37472324554577185,-0.3202030528291402,0.34059498168557745,0.2859691269753646,0.26905623732559214,0.37877442993172095,0.2747532630126112,-0.2820202747723277,0.2076751889097152,0.19979800576897702,,0.1792775566016301,0.07904389901744402,0.14825948518434798,-0.11758403723477157,0.11393790536229109,0.14131326149559975,0.1115523217413486,-0.10570774661473108,0.019496183376714646
QFHH_ACS,0.7457294972771052,0.732954390960191,0.6319173718215996,0.5435696218578048,0.502011794193032,0.4298740119838214,0.47498390606431584,0.42596589304091065,0.44087736312689346,-0.31766837044632845,0.37930251217589783,0.31656362811885813,0.311516272652148,0.2633218983287786,0.29704810357547057,-0.2242987367482914,0.23006907608898075,0.22027243137375274,0.213595187842638,,0.19022376807329078,0.2236686378937764,-0.09320925530127369,0.13966842712263455,0.18680610903191994,0.0928984859954248,-0.071276770517334,-0.0030991985702051167
PRENTER_ACS,0.6987692471427291,0.8444625831592952,0.4527444395340885,0.49962481496222066,0.450114259253354,0.6628487596765853,0.4702421865698228,0.3788532729594456,0.5492594277532061,-0.2624751884308899,0.38373686494024284,0.13991875769308693,0.29447257812840555,0.30487775249926363,0.27686056528019287,-0.22611278917313557,0.16902564869051112,0.13263388197699721,0.16532633320565923,0.281434022218348,,0.2808257587748978,-0.09483693286017808,0.08401298101261999,0.18751476199258277,0.1292992416649421,-0.06402141273895956,0.17775554557963835
POPDENS,0.7878295138249164,0.7476665051192029,0.6142305290140752,0.5415072976778911,0.4905690042597084,0.5024795115316338,0.4947030413633807,0.42123177122986166,0.49160096547837967,-0.380970249839123,0.35341555735326957,0.355649329656235,0.3079803159584753,0.2819039772839824,0.2458610714591168,-0.2504954320655671,0.2110636203223176,0.17221360578464426,0.24409190578595336,0.20980752922249762,0.20350166167576997,,-0.14839166032415868,0.10933963898328838,0.14951169423418811,0.13114587159067617,-0.030729452776768057,-0.019712845552171607
QCVLUN,0.7657241687751848,0.7473456428164066,0.6660317857534944,0.5473364978817217,0.5458980175676295,0.5151942399832472,0.4744069453294466,0.4344009935080521,0.40514443711698583,-0.4028121851812724,0.34241576029074666,0.3630470745947405,0.22621763449518023,0.2012674869393807,0.28346841737185396,-0.35969307221601377,0.2216016658388948,0.20381717104184438,0.20842716674413334,0.17068743143198103,0.1863598031788458,0.18081611510079232,,0.12838091703254945,0.13918179909392253,0.0513133545656938,-0.06536491744614156,0.03262040966094913
MHSEVAL_ALT,0.7989622918682889,0.7722007100416673,0.5021149766452747,0.5283275001642146,0.4339588421631411,0.5742780283394552,0.5402351943148165,0.43134397189970397,0.6479500822508499,-0.3472755028052238,0.33107476577896194,0.27419404147853316,0.31046000649870453,0.3699965090583258,0.1408881479489004,-0.20020996375673308,0.10013197006542024,0.011578925892902908,0.2983023077007099,0.23418983473375102,0.16526695363294433,0.46540701918061245,-0.12180141567718414,,0.16150330759717915,0.17137869683135146,0.0704918484906858,0.030180441436638963
QED12LES_ALT,0.7622095848322159,0.7420387989487652,0.6926681848286591,0.5805088636453005,0.5387705835861444,0.49582871981363486,0.49544419522649047,0.40567470736966854,0.3949054756676049,-0.3814139342129459,0.3521933324813012,0.3441552078443594,0.30305845332899234,0.2750872080659273,0.287845835434015,-0.2735110101929254,0.2227325343669265,0.22253249439981637,0.20454195414209442,0.21737635196033506,0.17768830935781418,0.1380226220754852,-0.14426866220836393,0.14336123248621202,,0.08647008604558545,-0.08866500804842409,0.020445458894447002
QEXTRCT_ALT,0.7089843109855192,0.7855340042869853,0.41236365678451636,0.5052394773598472,0.3760389826673953,0.7164651711451913,0.48515594239111304,0.4182339497360816,0.5578785694869908,-0.20015111662438928,0.368933366981276,0.0990704838649395,0.2538262244961639,0.38927411686942764,0.28021000459275947,-0.2612675341095314,0.15464298147980807,0.1128121525642245,0.20467315152143511,0.25396892765044876,0.018275465906816918,0.2781445242859831,-0.05308835514237362,0.0653281093612927,0.21812548106394075,,-0.06916178892313238,0.23483467325964286
QASIAN_ACS,0.7219184008833943,0.802666800210816,0.43983602212945505,0.49880932894691654,0.41374358998517474,0.688710447983371,0.483570562473455,0.4147703647003539,0.542149407398824,-0.2291645488786284,0.3762938948957239,0.13898583009835278,0.277791901285625,0.36414009884736376,0.26686113276083656,-0.23359528827943235,0.15067927267945871,0.10312529935743964,0.2073678315445961,0.26669553601564816,0.0663174287118618,0.2621099138678238,-0.06569573685282515,0.060648155105130344,0.20245266676470108,0.15094583626194208,,0.19833788008387807
QPUNIT_ACS,0.7502096068849373,0.727423002211254,0.643479574132488,0.5605461170953229,0.48393144494890744,0.4568626768315891,0.4762024451813833,0.3925456458490759,0.42187180265796864,-0.3605167233710672,0.3616646608475075,0.30194760687198596,0.3116471374426008,0.276480526174668,0.27416933423667617,-0.2638167007263614,0.2407489093846062,0.2339822520341969,0.20995753490096017,0.19546325963854322,0.2211955960927681,0.2034310773807551,-0.1597466096997378,0.1464369290626082,0.13381033685383123,0.13462212915856386,-0.08624037701752169,
