,QAGEDEP_ACS,QFEMALE_ACS,QSERV_ALT,QHISP_ACS,QFEMLBR,QNATAM_ACS,QESL_ALT,QSSBEN,QNOAUTO_ALT,QMOHO,QPOVTY,QNRRES_ACS,QFAM,QUNOCCHU_ACS,PERCAP_ALT,BLACK_ACS,MDGRENT_ALT,QRICH200K,MEDAGE_ACS,QFHH_ACS,PRENTER_ACS,POPDENS,QCVLUN,MHSEVAL_ALT,QED12LES_ALT,QEXTRCT_ALT,QASIAN_ACS,QPUNIT_ACS
MDGRENT_ALT,0.18114504962609976,0.14904900200602553,0.2601705111562282,0.16633445131063557,0.2793256436301234,0.15414826343767662,0.22369194376283097,0.15468830190947153,0.2563065914743831,0.22742378170962013,0.233443689789206,0.17178291469342605,0.13043668946148176,0.1462519713387902,0.2061943975182493,0.14118500647348592,,0.18420526801985151,0.20767518890971484,0.23006907608898053,0.1690256486905105,0.21106362032231776,0.2216016658388946,0.10013197006542013,0.2227325343669265,0.15464298147980787,0.1506792726794582,0.2407489093846062
QRICH200K,0.18217898100552418,0.16769868634130458,0.140249510836156,0.22463986341373202,0.21610053900798581,0.09311491396006905,0.18610002665960357,0.10394704799955565,0.18681181787799364,0.21797727413100543,0.2192003749859192,0.12091801606566618,0.10561263245743238,0.10380277147066844,0.13177010964865468,0.024494872004283706,0.3146440627462824,,0.19979800576897677,0.22027243137375244,0.13263388197699694,0.17221360578464356,0.20381717104184444,0.011578925892902936,0.22253249439981637,0.1128121525642243,0.10312529935743912,0.2339822520341969
MEDAGE_ACS,0.16752657871116394,0.14370919242088043,0.22955956068832767,0.18361912072753486,0.1567041158466005,0.26650203855332993,0.18053973710470822,0.29775922196709803,0.20411598444607537,0.2023647202798942,0.2238116081996206,0.20429924184121126,0.1984416781357529,0.265909191875692,0.19179038334020357,0.22277186581546657,0.1732210453393525,0.22655525023644882,,0.2135951878426382,0.16532633320565945,0.24409190578595358,0.208427166744134,0.29830230770070965,0.20454195414209442,0.20467315152143503,0.20736783154459623,0.20995753490096017
QFHH_ACS,0.050634646302308156,0.13655006861159236,0.2241472850240871,0.16130481780024564,0.0030104071848019442,0.26982217824456356,0.17491632076407004,0.2724781210093582,0.21873695441188673,0.14619251478896234,0.2782543356608783,0.2730456445151479,0.3162139428918702,0.24282328865304317,0.29326332593356086,0.35789170046384716,0.19699886442776565,0.2358041977140521,0.17927755660162994,,0.28143402221834796,0.20980752922249807,0.17068743143198137,0.23418983473375093,0.21737635196033506,0.25396892765044915,0.2666955360156485,0.19546325963854322
PRENTER_ACS,0.08643836699153268,0.13050689272522303,0.10571928857313592,0.08822892350303388,0.2016283474181552,0.22164286215757442,0.2254296992641669,-0.04611402583104596,0.18237304513141925,0.23846164393856434,0.1807303410142834,0.09622779312987892,0.04936318182686575,0.011570687429246773,0.08431478271410316,0.01119137263414513,0.14458765297524007,0.12151368964859255,0.07904389901744391,0.1902237680732904,,0.20350166167577036,0.18635980317884526,0.165266953632944,0.17768830935781418,0.018275465906816973,0.06631742871186189,0.2211955960927681
POPDENS,0.2887157832801269,0.24030158980141664,0.3105207338023922,0.16069166335769658,0.31657851387631175,0.23711196317978375,0.27975098929627484,0.2692703233473328,0.20805600919417913,0.2334858936584262,0.23125700727822956,0.2514175784943793,0.2599429402488052,0.2733216194979364,0.24105289337554262,0.211176541399148,0.012201791490646152,0.35681866081152214,0.1482594851843482,0.2236686378937765,0.2808257587748971,,0.18081611510079212,0.4654070191806118,0.1380226220754852,0.2781445242859834,0.2621099138678244,0.2034310773807551
QCVLUN,0.14134481382468764,0.08505772771992745,-0.12713970256449408,0.1114953499752691,0.0739536206843781,0.001666688250761536,-0.13909076381531096,-0.06279991057041992,-0.14680761841450662,-0.19020238941182013,-0.0824073127359885,-0.0869622282235013,-0.005478381686061462,-0.003468559254274195,-0.07958080252547653,-0.08253244977010327,-0.17706965816549147,-0.11839934015794268,-0.11758403723477107,-0.09320925530127405,-0.09483693286017786,-0.14839166032415868,,-0.12180141567718378,-0.14426866220836393,-0.053088355142373006,-0.06569573685282493,-0.1597466096997378
MHSEVAL_ALT,0.043453585631345396,0.036703722160076044,0.16637117038438848,0.04209372034214711,0.14700039769589648,0.10075501622162286,0.12532584884038978,0.0541282807005887,0.16627644046287704,0.11147325214765905,0.1574227083512937,0.0863347021153089,0.049624515390910895,0.04715591477457401,0.12336485569712971,0.08822504644013918,0.23732148272670983,0.07444078220773308,0.11393790536229081,0.139668427122634,0.08401298101261938,0.10933963898328844,0.12838091703254928,,0.14336123248621202,0.06532810936129257,0.06064815510512965,0.1464369290626082
QED12LES_ALT,0.1433619987092161,0.14362991386029056,0.22514183301516388,-0.13295328031589368,0.18245524480420372,0.32070295598673915,0.2141070696776446,0.20807767702826732,0.16322242510414162,0.11100881076704161,0.20995787511131558,0.1877284912844762,0.23146087486032443,0.2269044854902102,0.21920503485978476,0.22485918927275017,0.13085080257873355,0.19132493658869093,0.14131326149559986,0.1868061090319194,0.1875147619925826,0.1495116942341884,0.1391817990939231,0.1615033075971796,,0.21812548106394108,0.20245266676470097,0.13381033685383123
QEXTRCT_ALT,0.29749099883931895,0.21164671824245918,0.2539215164951111,-0.05529063765337771,0.41122077080787867,0.08887481656453783,0.26945870057876226,0.2068693161608782,0.22091311073314213,0.1109111369125052,0.11355744220928299,0.16897211622804906,0.1064162476242354,0.10867964572212122,0.20419645018042568,0.28943311209836403,0.1095214088924931,0.2112402598485053,0.11155232174134869,0.09289848599542444,0.12929924166494167,0.13114587159067717,0.0513133545656933,0.17137869683135143,0.08647008604558545,,0.15094583626194163,0.13462212915856386
