Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g13095,525.0,124.0
g13097,55.0,86.0
g13099,444.0,154.0
g13101,86.0,270.0
g13103,31.0,26.0
g13105,409.0,155.0
g13107,304.0,359.0
g13109,619.0,595.0
g13111,432.0,275.0
g13113,13.0,17.0
g13115,609.0,411.0
g13117,12.0,6.0
g13119,611.0,722.0
g13121,227.0,71.0
g13123,526.0,673.0
g13125,327.0,580.0
g13127,688.0,375.0
g13129,467.0,403.0
g13131,636.0,665.0
g13133,232.0,257.0
g13135,284.0,84.0
g13137,500.0,719.0
g13139,697.0,409.0
g13141,20.0,112.0
g13143,393.0,560.0
g13145,15.0,16.0
g13147,554.0,435.0
g13149,302.0,326.0
g13151,44.0,78.0
g13153,121.0,182.0
g13155,698.0,468.0
g13157,95.0,116.0
g13159,266.0,339.0
g13161,487.0,265.0
g13163,272.0,150.0
g13165,510.0,168.0
g13167,379.0,271.0
g13169,59.0,180.0
g13171,273.0,514.0
g13173,653.0,646.0
g13175,666.0,421.0
g13177,17.0,10.0
g13179,250.0,189.0
g13181,200.0,165.0
g13183,684.0,532.0
g13185,337.0,497.0
g13187,204.0,232.0
g13189,623.0,562.0
g13191,570.0,267.0
g13193,285.0,573.0
g13195,247.0,382.0
g13197,315.0,707.0
g13199,520.0,472.0
g13201,452.0,370.0
g13205,555.0,703.0
g13207,151.0,166.0
g13209,451.0,179.0
g13211,185.0,430.0
g13213,344.0,236.0
g13215,565.0,341.0
g13217,72.0,316.0
g13219,18.0,24.0
g13221,117.0,114.0
g13223,25.0,42.0
g13225,371.0,384.0
g13227,195.0,194.0
g13229,683.0,677.0
g13231,38.0,103.0
g13233,667.0,567.0
g13235,211.0,41.0
g13237,685.0,584.0
g13239,370.0,320.0
g13241,158.0,181.0
g13243,214.0,278.0
g13245,494.0,288.0
g13247,152.0,391.0
g13249,191.0,110.0
g13251,598.0,455.0
g13253,360.0,87.0
g13255,580.0,478.0
g13257,733.0,308.0
g13259,27.0,561.0
g13261,196.0,137.0
g13263,732.0,299.0
