,g23g33g25,FEMA_8,FEMA_9,USA,g36,FEMA_2,FEMA_3,FEMA_1,FEMA_6,FEMA_7,FEMA_4,FEMA_5,FEMA_10,g48,g51,g46,g17,g16,g06,g29,g13
QCVLUN,0.744358638092,0.523497203229,0.262570485611,-0.150123155358,-0.165218108188,0.202443357202,0.213458551467,0.687166086648,-0.108504426344,-0.111676937265,0.164017342757,-0.218827764788,0.152380479883,0.400436023916,0.307615777589,0.132755676893,0.250165590327,0.275857914165,0.4106998279,-0.178947876215,0.345262882376
QPOVTY,0.0246303201931,0.27046919909,0.506241783396,0.343399511258,0.283199647734,0.253714873031,0.171612095023,0.148135211422,0.452922359849,0.2810651389,0.288628225135,0.247050176803,0.385877687052,0.326404438884,0.331008477039,0.14499005817,0.424404731031,0.355286381951,0.191550739135,0.396301327725,0.331467858941
QMOHO,-0.466796498932,0.24627222498,-0.151726728725,-0.367264305162,-0.0185652290335,0.0656019658682,0.0390771804515,-0.198154128934,-0.58507217673,-0.204341678801,0.0385582348053,-0.24614998486,0.213430255919,-0.433214919914,0.278387753435,0.732600483154,0.312954531253,0.400911488958,0.304814315099,0.0283394603064,0.0758583190953
QED12LES_ALT,0.447837080703,0.230781773715,0.460161205274,0.140067904717,0.190587811759,0.0775727868867,0.323913115845,0.421566496311,0.108607557155,0.394301706944,0.136065205227,0.207098286751,0.337792580961,0.0794434872941,0.487696271092,-0.00821634027416,0.0584102068771,0.422299392176,0.523531107077,-0.0534767416381,0.27203674456
QFEMLBR,0.303186022386,0.789682697933,0.281475719475,0.505624246321,0.448961330593,0.508536410405,0.0699352707025,0.101721670171,0.479994784255,0.158521522978,0.161794131443,0.139701981759,0.406046399677,0.129702272703,-0.190299539862,0.397225312796,-0.195434353985,0.364625107389,-0.43176430138,0.540193678319,-0.304978324545
QEXTRCT_ALT,0.223876560337,-0.166608251473,-0.205438430054,0.114598336497,0.0332814042275,-0.148606921584,-0.0201660089209,0.233171613524,-0.228110759669,-0.0502492415076,0.0566060180579,0.318663534947,0.0515556616446,0.00459109860289,0.513727239739,0.151979818002,0.387602502689,0.0913154391195,0.892836410501,0.108199125381,0.507932402213
QSERV_ALT,-0.0971016074847,0.200808708965,0.349156213068,0.647612402628,-0.0194996197656,0.427790877449,0.655835625356,-0.117512849068,0.614543863511,0.206209572372,0.81118894785,0.107085762375,0.442944380723,0.388272994277,0.230934182694,0.241440758907,0.317305511578,0.162707947003,0.316968606825,0.25630386395,0.0998533075106
QSSBEN,0.499883126118,0.678540452327,0.472022517891,0.402252857867,0.313150530274,0.133539322766,0.241751814945,0.464707582629,0.339126329969,0.168347170836,0.248861367391,0.308010656279,0.267811504919,0.264794639078,0.241993592462,0.363136444086,0.177065350271,0.168081173587,0.261869247139,0.237996035421,0.23425979283
QNOAUTO_ALT,0.000771619394251,0.243323693339,0.569572078281,0.39932332849,0.21394361499,0.352738561004,0.0966457737592,0.0804255657848,0.0438244365241,0.338491714769,0.237626346947,0.586118098491,0.31884519635,0.448593503697,0.310073654204,0.0153643618136,0.137541090698,0.21739344347,0.472669399956,0.0688184028341,0.313086903167
QFAM,0.0480771772739,0.180890551945,0.295288362184,0.293890292651,0.542870706735,0.24536443281,0.287250270287,-0.0914787544541,-0.0431251481677,0.504767505579,0.195368172186,0.38237519995,0.50432856913,0.445244899675,0.0994982090012,0.280373898834,0.0712682287434,0.54932959043,0.0515026888793,0.486277900707,0.0839701636017
QRICH200K,-0.160932933096,0.30602538171,-0.151285263885,0.215294788767,0.216899564345,0.0747157966295,0.119905864442,-0.195970493823,0.263325981771,0.0344613449391,0.214542271925,0.0974456035684,0.149839418359,0.155781370854,-0.0425269255913,0.546908650404,0.0441818508818,0.171980881601,-0.148676470448,0.048569375984,-0.304558832095
MDGRENT_ALT,0.200580314624,-0.118781493955,0.0591333650228,0.226473388657,0.296188290321,0.131205811179,0.0369699745175,0.266855002504,0.301276434767,0.307498322348,0.0589690486827,0.241788503261,0.0650745587003,0.351977390731,0.0823995110141,0.146532550127,0.275598831449,0.0619546491593,0.0672387681931,0.176558106938,0.298109890368
MHSEVAL_ALT,0.106384373394,-0.100627988609,-0.339641901917,0.144972833933,0.117740285979,-0.0630569461795,0.0932919297044,0.26862018248,0.175476627709,0.43491618982,0.0508433197199,0.106070839234,0.0790934123558,0.338103308744,0.0889340064583,0.0947131684493,0.153024313395,0.315110867305,-0.158872340672,0.27358516215,0.0364429601336
POPDENS,-0.193956376705,0.651614935845,0.3464595316,0.155072406928,0.166924986199,0.383105860537,0.100791911506,-0.0715415861962,0.20331349606,0.097595428042,0.159709094939,0.268917802393,-0.252435402281,0.32069046957,0.306722963021,0.208738970401,0.125140797797,0.175312853822,0.411555482234,0.0829653428471,0.231360288128
